Années Nucléaire. Solaire. Eolien. Hydraulique. Autres.Renouvelables. Biomasse. Charbon. Pétrole. Gaz.
1800 0 0 0 0 0 0.47781600000000002 0.0083420000000000005 0 0
1810 0 0 0 0 0 0.50163800000000003 0.011008 0 0  
1820 0 0 0 0 0 0.52554599999999996 0.013158 0 0  
1830 0 0 0 0 0 0.549454 0.022703999999999998 0 0  
1840 0 0 0 0 0 0.59718400000000005 0.030616000000000001 0 0   
1850 0 0 0 0 0 0.62109199999999998 0.048933999999999998 0 0   
1860 0 0 0 0 0 0.59718400000000005 0.091245999999999994 0 0   
1870 0 0 0 0 0 0.59718400000000005 0.141212 0.00051599999999999997 0   
1880 0 0 0 0 0 0.59718400000000005 0.218612 0.0028379999999999998 0   
1890 0 0 0 0.0033444445400000007 0 0.57336200000000004 0.33161600000000002 0.0076540000000000002 0.0028379999999999998   
1900 0 0 0 0.0040611109199999995 0 0.52554599999999996 0.49260799999999999 0.015566 0.0055040000000000002   
1910 0 0 0 0.0078833331039999989 0 0.549454 0.74441599999999997 0.034141999999999999 0.012212000000000001   
1920 0 0 0 0.015288888220000001 0 0.59718400000000005 0.845638 0.076453999999999994 0.020038   
1930 0 0 0 0.031294445399999996 0 0.62109199999999998 0.87075000000000002 0.15101600000000001 0.051858000000000001   
1940 0 0 0 0.045866663799999999 0 0.62109199999999998 0.99639599999999995 0.228158 0.075249999999999997   
1950 0 0 0 0.079549999999999996 0 0.64500000000000002 1.083858 0.46818399999999999 0.17991199999999999   
1960 0 0 0 0.16459444540000001 0 0.76445399999999997 1.328012 0.95434200000000002 0.38459199999999999   
1965 0.0062323636700000002 0 0 0.23477023899999999 0.0048116213099999999 0.78870856804600009 1.391281684 1.54907672 0.54212854580000003   
1966 0.0084026274199999994 0 0 0.25018569600000001 0.0053094341160000004 0.79354004658400012 1.4069110659999999 1.6707562279999999 0.59071800399999996   
1967 0.010006544619999998 0 0 0.25576135119999999 0.0053623906799999997 0.798370999576 1.3842144620000001 1.787065208 0.63416898799999999   
1968 0.012716982540000001 0 0 0.26937824719999998 0.0059367442599999997 0.80328762679999999 1.404650298 1.93597051 0.69181390220000005   
1969 0.01507677524 0 0 0.28526032299999998 0.0062400495760000004 0.80811826236599993 1.448842 2.1023709639999999 0.75967532399999993   
1970 0.019247488859999998 0 0 0.29871467899999998 0.0069090636999999998 0.81334512848399998 1.469482344 2.293853318 0.82687357399999983   
1971 0.02677070178 0 0 0.312089012 0.0075111596759999998 0.81808034455599998 1.460829282 2.4181400879999999 0.88521433999999999   
1972 0.037134736359999997 0 0 0.32668252399999997 0.00803257372 0.82283278745999988 1.4764675220000001 2.6084982499999998 0.93410731800000002   
1973 0.049757338200000001 0 0 0.33135756999999999 0.0086211826600000006 0.82751354790199994 1.520786848 2.8141036100000001 0.97849355199999999   
1974 0.065057430499999999 0 0 0.36396375619999999 0.00919107456 0.83225078557599996 1.5218931520000001 2.7713197279999999 1.002747874   
1975 0.090252674199999994 0 0 0.36845259500000005 0.0093006591999999985 0.83692520171200002 1.5519074960000003 2.751341756 1.0027372960000001   
1976 0.10558318899999998 0 0 0.3669911884 0.01036911116 0.84174660225400011 1.6081815100000001 2.9291559579999999 1.0624559539999998   
1977 0.13141982499999999 0 0 0.37933387400000007 0.010944929663999998 0.84695539400999997 1.656997432 3.0263171239999993 1.097346068   
1978 0.15271027740000001 0 7.6290600000000009e-07 0.41053914600000002 0.011612306519999999 0.85218937456400001 1.6742041400000003 3.1565422800000005 1.1432794420000001   
1979 0.15882691560000001 0 1.5258120000000002e-06 0.43108764199999999 0.01242833472 0.85750799640399999 1.7518697080000001 3.1976748760000007 1.2141504940000001   
1980 0.17372822160000001 0 2.670128e-06 0.44036031679999993 0.013225817019999999 0.8628196063200001 1.7954893380000001 3.0582745519999999 1.2243786459999999   
1981 0.20516528080000002 0 2.670128e-06 0.44983404239999997 0.014182053599999999 0.87167432137800005 1.819588172 2.9494304580000001 1.2380450780000001   
1982 0.2225952964 0 4.704544e-06 0.45797284159999996 0.016446029399999999 0.88154783698399997 1.840006636 2.8612720300000003 1.244396866   
1983 0.252277474 7.6290600000000009e-07 8.3397640000000009e-06 0.47751865499999996 0.01821226988 0.89182165463999996 1.89638342 2.8465791880000002 1.2645290360000001   
1984 0.3061476762 1.6049320000000001e-06 1.1381411999999999e-05 0.49369331999999999 0.020323575899999998 0.90195135237800006 1.9787258400000001 2.8916955620000002 1.3676301360000001   
1985 0.36333601640000002 2.9873819999999995e-06 1.6331228e-05 0.503323772 0.0209132478 0.91240926773999986 2.0637194679999999 2.8970228320000002 1.3985506620000001   
1986 0.38915743040000006 3.8612280000000003e-06 3.5304978000000001e-05 0.51014649599999995 0.022678043479999997 0.92339945713999994 2.086688348 2.9857411200000001 1.4122152020000001   
1987 0.42332046600000001 2.6963579999999998e-06 4.9684521999999995e-05 0.51704300800000003 0.024291768979999996 0.93312839032000006 2.1696497959999999 3.0541220419999999 1.4862427979999999   
1988 0.46151452799999998 2.5928139999999999e-06 8.4321107999999997e-05 0.53361231840000001 0.025015961219999997 0.94329617685600009 2.234544708 3.1500866039999997 1.555640412   
1989 0.47463365600000001 6.6683626000000004e-05 0.00067384104599999993 0.53087559200000001 0.02772405822 0.95379927464000003 2.2558702140000002 3.2000055619999999 1.624423728   
1990 0.48819798019999999 9.8757756000000005e-05 0.00092374113599999995 0.54893909220000003 0.031064378200000003 0.96471094346000008 2.2287936300000002 3.2342879999999998 1.6753789000000003   
1991 0.51155474599999995 0.00012850412400000001 0.0010391012780000001 0.56163452400000002 0.032408355239999999 0.97641362651999997 2.207396916 3.2412217499999998 1.7176638959999999   
1992 0.51543785239999995 0.00011867699 0.0012035591639999999 0.56157664600000001 0.03481392488 0.98768468461000003 2.1987861660000001 3.2845868199999999 1.7254594519999999   
1993 0.53318878560000005 0.00014156365399999997 0.00145057619 0.59540004179999995 0.035970985220000001 0.99977924430000009 2.20933527 3.2701130200000001 1.7428312800000001   
1994 0.54319732799999998 0.000151813392 0.001813606528 0.59910911 0.0373826004 1.0123147527359999 2.2180492200000002 3.3412995200000002 1.7535067179999999   
1995 0.56675831799999998 0.00016246853400000001 0.0021036098799999997 0.63152823759999999 0.039068933119999996 1.0247820544000001 2.233914328 3.3911429699999993 1.8149863119999998   
1996 0.58727729020000008 0.00017781497600000002 0.0023435370660000003 0.64002870979999993 0.040107341840000005 1.0363674682899999 2.2869462280000001 3.4680887180000002 1.905695844   
1997 0.58323849800000005 0.00019063826400000003 0.0030587884019999999 0.65135557200000005 0.0429980134 1.0488586359000001 2.2830658220000002 3.5622988800000002 1.8946135399999999   
1998 0.59327547199999997 0.00020645486799999999 0.0040508278999999998 0.65633419800000004 0.044770318600000004 1.0614450205599999 2.2686911799999998 3.5762095519999999 1.929323828   
1999 0.61585048920000007 0.00023021572200000002 0.0053980228880000005 0.66130195359999999 0.046971867 1.0792352729600001 2.2783514739999999 3.6349428220000002 1.9841835719999998   
2000 0.62975070360000007 0.000269083852 0.0079874813399999998 0.67304348199999997 0.049157157099999994 1.0863957559400002 2.3599679679999999 3.6965749799999998 2.0635060159999998   
2001 0.64332790200000001 0.00035931333199999997 0.0096966995199999993 0.65147562800000003 0.051053693599999998 1.0863025474200001 2.396365662 3.7294897600000003 2.0912475519999996   
2002 0.64939259619999989 0.00045115066800000003 0.013148864219999999 0.65920530799999999 0.054968203760000001 1.0852610418399999 2.4912129119999999 3.7539631239999993 2.1524325100000001   
2003 0.63215643320000003 0.0005619189260000001 0.01578385778 0.65417886599999997 0.058025610399999997 1.0748220642799999 2.7099743799999998 3.8338843000000007 2.2125847799999998   
2004 0.65667617700000003 0.00073571821799999989 0.021218127259999997 0.69799821380000004 0.062722337000000003 1.0630528885999999 2.8973258960000003 3.9875740400000002 2.2991474780000001   
2005 0.65423240100000002 0.001030147474 0.025764837180000003 0.71690717999999987 0.067941611639999996 1.05870371122 3.1124058760000004 4.0390373000000004 2.3597524519999999   
2006 0.65822006620000006 0.0014085956339999998 0.032668783020000002 0.73955502200000012 0.072353640400000002 1.0567342828399999 3.2742921039999997 4.0823138760000006 2.4218794539999999   
2007 0.64077189599999995 0.0018985927599999999 0.041705622599999999 0.74713454600000007 0.078533904840000002 1.0580210802000001 3.4601155719999999 4.1299573599999997 2.5211504580000001   
2008 0.63481773760000004 0.0030649887439999999 0.053507634799999995 0.78579902800000001 0.083992721300000003 1.06336563964 3.507600042 4.0960933119999998 2.5822951679999999   
2009 0.62197177999999997 0.0050584769999999996 0.066479307200000004 0.77968236400000002 0.090235328000000004 1.0628161349 3.4563391399999999 4.0046816759999997 2.5288902000000002   
2010 0.63408582599999996 0.0080919424439999995 0.082687787400000004 0.81876669800000001 0.1011209758 1.0628861466400001 3.6109948319999998 4.1330077800000007 2.7170685200000002   
2011 0.60384782179999996 0.015587831960000001 0.104548523 0.82859434799999987 0.106269211 1.0562326328 3.7789085419999999 4.1624271759999996 2.7820240620000001   
2012 0.55903170820000003 0.023937982180000001 0.12509693300000002 0.85867594400000002 0.1153087226 1.0490787915999999 3.7892456559999999 4.2281332399999991 2.8554697820000001   
2013 0.56010136760000007 0.032490043199999999 0.14895670419999998 0.88782839599999996 0.1245121072 1.0449667618 3.8449948119999999 4.2702752180000001 2.8999868219999998   
2014 0.56811668800000004 0.045966217399999995 0.16446057780000001 0.90602126599999999 0.13498581500000001 1.03946009064 3.8608126199999999 4.3010173800000002 2.9207061999999997   
2015 0.57233911599999998 0.059290369400000008 0.19253082299999999 0.89830130399999997 0.14590069420000001 1.0329909995 3.7565233440000001 4.3840400600000002 2.98868146   
2016 0.57741732999999995 0.0756047844 0.22150792959999999 0.92447316800000001 0.14796624220000001 1.0365142174000002 3.6753702179999999 4.4772331000000003 3.0297239280000001   
2017 0.57914799400000005 0.10191842800000001 0.26135187580000002 0.93108691200000004 0.15630119879999999 1.0381064093600001 3.7146220799999998 4.5561768000000002 3.1405110199999999   
2018 0.58956508799999996 0.13076420399999999 0.28907425959999994 0.95295585199999999 0.16896764 1.0449813560000001 3.7713401979999999 4.6028392819999997 3.2956436679999999   
2019 0.60817322619999992 0.15992530759999998 0.32221694819999996 0.961889102 0.17746723500000003 1.0518339908000001 3.7493561039999994 4.6112276359999997 3.3612629580000002   
2020 0.5828104502 0.19309307380000001 0.36017754600000002 0.98462027799999996 0.18762407579999998 1.0475894435999999 3.6375148240000001 4.1921288240000001 3.3294117399999994   
2021 0.60518802000000005 0.2366507924 0.41847041000000007 0.96513190400000004 0.20220268399999999 1.0528141242 3.8356068799999998 4.431622312 3.4605553760000003   
2022 0.57653316399999999 0.29639104500000002 0.47263395819999998 0.96937531600000004 0.20763011819999999 1.0581634531999999 3.85874432 4.5775082400000002 3.44747125   
2023 0.58687923920000007 0.36672644600000004 0.51947087400000003 0.94721406200000002 0.20879607180000001 1.0688617156 3.9185839800000002 4.6925039999999996 3.4487496399999999
